country,year,sex,age,suicides_no,population,suicidesPer100k,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Albania,1987,male,15-24 years,21.00,312900,6.71,Albania1987,,"2,156,624,900",796,Generation X
Albania,1987,male,35-54 years,16.00,308000,5.19,Albania1987,,"2,156,624,900",796,Silent
Albania,1987,female,15-24 years,14.00,289700,4.83,Albania1987,,"2,156,624,900",796,Generation X
Albania,1987,male,75+ years,1.00,21800,4.59,Albania1987,,"2,156,624,900",796,G.I. Generation
Albania,1987,male,25-34 years,9.00,274300,3.28,Albania1987,,"2,156,624,900",796,Boomers
Albania,1987,female,75+ years,1.00,35600,2.81,Albania1987,,"2,156,624,900",796,G.I. Generation
Albania,1987,female,35-54 years,6.00,278800,2.15,Albania1987,,"2,156,624,900",796,Silent
Albania,1987,female,25-34 years,4.00,257200,1.56,Albania1987,,"2,156,624,900",796,Boomers
Albania,1987,male,55-74 years,1.00,137500,0.73,Albania1987,,"2,156,624,900",796,G.I. Generation
Albania,1987,female,5-14 years,0.00,311000,0.00,Albania1987,,"2,156,624,900",796,Generation X
Albania,1987,female,55-74 years,0.00,144600,0.00,Albania1987,,"2,156,624,900",796,G.I. Generation
Albania,1987,male,5-14 years,0.00,338200,0.00,Albania1987,,"2,156,624,900",796,Generation X
Albania,1988,female,75+ years,2.00,36400,5.49,Albania1988,,"2,126,000,000",769,G.I. Generation
Albania,1988,male,15-24 years,17.00,319200,5.33,Albania1988,,"2,126,000,000",769,Generation X
Albania,1988,male,75+ years,1.00,22300,4.48,Albania1988,,"2,126,000,000",769,G.I. Generation
Albania,1988,male,35-54 years,14.00,314100,4.46,Albania1988,,"2,126,000,000",769,Silent
Albania,1988,male,55-74 years,4.00,140200,2.85,Albania1988,,"2,126,000,000",769,G.I. Generation
Albania,1988,female,15-24 years,8.00,295600,2.71,Albania1988,,"2,126,000,000",769,Generation X
Albania,1988,female,55-74 years,3.00,147500,2.03,Albania1988,,"2,126,000,000",769,G.I. Generation
Albania,1988,female,25-34 years,5.00,262400,1.91,Albania1988,,"2,126,000,000",769,Boomers
Albania,1988,male,25-34 years,5.00,279900,1.79,Albania1988,,"2,126,000,000",769,Boomers
Albania,1988,female,35-54 years,4.00,284500,1.41,Albania1988,,"2,126,000,000",769,Silent
Albania,1988,female,5-14 years,0.00,317200,0.00,Albania1988,,"2,126,000,000",769,Generation X
Albania,1988,male,5-14 years,0.00,345000,0.00,Albania1988,,"2,126,000,000",769,Generation X
Albania,1989,male,75+ years,2.00,22500,8.89,Albania1989,,"2,335,124,988",833,G.I. Generation
Albania,1989,male,25-34 years,18.00,283600,6.35,Albania1989,,"2,335,124,988",833,Boomers
Albania,1989,male,35-54 years,15.00,318400,4.71,Albania1989,,"2,335,124,988",833,Silent
Albania,1989,male,55-74 years,6.00,142100,4.22,Albania1989,,"2,335,124,988",833,G.I. Generation
Albania,1989,male,15-24 years,12.00,323500,3.71,Albania1989,,"2,335,124,988",833,Generation X
Albania,1989,female,35-54 years,7.00,288600,2.43,Albania1989,,"2,335,124,988",833,Silent
Albania,1989,female,15-24 years,5.00,299900,1.67,Albania1989,,"2,335,124,988",833,Generation X
Albania,1989,female,25-34 years,2.00,266300,0.75,Albania1989,,"2,335,124,988",833,Boomers
Albania,1989,female,55-74 years,1.00,149600,0.67,Albania1989,,"2,335,124,988",833,G.I. Generation
Albania,1989,female,5-14 years,0.00,321900,0.00,Albania1989,,"2,335,124,988",833,Generation X
Albania,1989,female,75+ years,0.00,37000,0.00,Albania1989,,"2,335,124,988",833,G.I. Generation
Albania,1989,male,5-14 years,0.00,349700,0.00,Albania1989,,"2,335,124,988",833,Generation X
Albania,1992,male,35-54 years,12.00,343800,3.49,Albania1992,,"709,452,584",251,Boomers
Albania,1992,male,15-24 years,9.00,263700,3.41,Albania1992,,"709,452,584",251,Generation X
Albania,1992,male,55-74 years,5.00,159500,3.13,Albania1992,,"709,452,584",251,Silent
Albania,1992,male,25-34 years,7.00,245500,2.85,Albania1992,,"709,452,584",251,Boomers
Albania,1992,female,15-24 years,7.00,292400,2.39,Albania1992,,"709,452,584",251,Generation X
Albania,1992,female,25-34 years,4.00,267400,1.50,Albania1992,,"709,452,584",251,Boomers
Albania,1992,female,35-54 years,2.00,323100,0.62,Albania1992,,"709,452,584",251,Boomers
Albania,1992,female,55-74 years,1.00,164900,0.61,Albania1992,,"709,452,584",251,Silent
Albania,1992,female,5-14 years,0.00,336700,0.00,Albania1992,,"709,452,584",251,Millenials
Albania,1992,female,75+ years,0.00,38700,0.00,Albania1992,,"709,452,584",251,G.I. Generation
Albania,1992,male,5-14 years,0.00,362900,0.00,Albania1992,,"709,452,584",251,Millenials
Albania,1992,male,75+ years,0.00,23900,0.00,Albania1992,,"709,452,584",251,G.I. Generation
Albania,1993,male,15-24 years,18.00,243300,7.40,Albania1993,,"1,228,071,038",437,Generation X
Albania,1993,male,55-74 years,7.00,165000,4.24,Albania1993,,"1,228,071,038",437,Silent
Albania,1993,male,75+ years,1.00,24200,4.13,Albania1993,,"1,228,071,038",437,G.I. Generation
Albania,1993,male,25-34 years,9.00,230100,3.91,Albania1993,,"1,228,071,038",437,Boomers
Albania,1993,female,15-24 years,10.00,285300,3.51,Albania1993,,"1,228,071,038",437,Generation X
Albania,1993,male,35-54 years,10.00,350300,2.85,Albania1993,,"1,228,071,038",437,Boomers
Albania,1993,female,25-34 years,7.00,261800,2.67,Albania1993,,"1,228,071,038",437,Boomers
Albania,1993,female,35-54 years,7.00,331200,2.11,Albania1993,,"1,228,071,038",437,Boomers
Albania,1993,female,55-74 years,2.00,169500,1.18,Albania1993,,"1,228,071,038",437,Silent
Albania,1993,female,5-14 years,1.00,340300,0.29,Albania1993,,"1,228,071,038",437,Millenials
Albania,1993,male,5-14 years,1.00,367000,0.27,Albania1993,,"1,228,071,038",437,Millenials
Albania,1993,female,75+ years,0.00,39300,0.00,Albania1993,,"1,228,071,038",437,G.I. Generation
Albania,1994,male,75+ years,2.00,24600,8.13,Albania1994,,"1,985,673,798",697,G.I. Generation
Albania,1994,male,55-74 years,11.00,171400,6.42,Albania1994,,"1,985,673,798",697,Silent
Albania,1994,female,75+ years,2.00,39900,5.01,Albania1994,,"1,985,673,798",697,G.I. Generation
Albania,1994,male,25-34 years,6.00,231400,2.59,Albania1994,,"1,985,673,798",697,Boomers
Albania,1994,male,35-54 years,9.00,362800,2.48,Albania1994,,"1,985,673,798",697,Boomers
Albania,1994,male,15-24 years,6.00,242200,2.48,Albania1994,,"1,985,673,798",697,Generation X
Albania,1994,female,15-24 years,6.00,282600,2.12,Albania1994,,"1,985,673,798",697,Generation X
Albania,1994,female,25-34 years,4.00,261100,1.53,Albania1994,,"1,985,673,798",697,Boomers
Albania,1994,female,35-54 years,2.00,342500,0.58,Albania1994,,"1,985,673,798",697,Boomers
Albania,1994,female,55-74 years,1.00,174600,0.57,Albania1994,,"1,985,673,798",697,Silent
Albania,1994,male,5-14 years,1.00,371800,0.27,Albania1994,,"1,985,673,798",697,Millenials
Albania,1994,female,5-14 years,0.00,344400,0.00,Albania1994,,"1,985,673,798",697,Millenials
